Place,Latitude,Longitude,County,Congressional_District,State,Medicare_Scaled_Spending_2012,CPVI,State_Mean_CPVI,X2012_Weighted_Mean,X2012_98th_Percentile
"Atlanta (Fulton County), GA",33.7489924,-84.3902644,13121,05,13,9610.54,-31.87,6.547142857142856,"10,3",20
"Baltimore, MD",39.2908816,-76.610759,24510,07,24,11436.36,-24.75,-10.95125,"10,2",23
"Boston, MA",42.3554334,-71.060511,25025,08,25,10083.51,-6.5,-10.375555555555556,8,21
"Chicago, IL",41.8755616,-87.6244212,17031,07,17,10843.99,-36.2,-7.831666666666667,"11,3",29
"Cleveland, OH",41.4996574,-81.6936772,39035,11,39,10776.48,-31.13,0.5350000000000003,"11,4",25
"Dallas, TX",32.7762719,-96.7968559,48113,30,48,11558.07,-27.46,7.5697222222222225,"10,4",21
"Denver, CO",39.7392364,-104.984862,08031,01,8,8813.47,-18.49,-0.4285714285714286,"7,3",23
"Detroit, MI",42.3315509,-83.046640300000007,26163,13,26,12193.24,-33.59,-3.588571428571429,"10,1",25
"Fort Worth (Tarrant County), TX",32.753177,-97.3327459,48439,12,48,11666.11,19.33,7.5697222222222225,"10,4",21
"Houston, TX",29.7589382,-95.3676974,48201,18,48,12201.4,-24.56,7.5697222222222225,"11,2",24
"Kansas City, MO",39.100105,-94.5781416,29095,05,29,9637.55,-8.3,6.34,"10,1",21
"Las Vegas (Clark County), NV",36.1672559,-115.148516,32003,04,32,10110.58,-3.62,-2.9225,5,13
"Long Beach, CA",33.7690164,-118.191604,06037,42,6,11428.72,9.62,-10.050943396226415,"10,5",26
"Los Angeles, CA",34.0536909,-118.242766,06037,34,6,11428.72,-31.98,-10.050943396226415,"10,5",26
"Miami (Miami-Dade County), FL",25.7741728,-80.19362,12086,27,12,15308.63,0.13,0.7322222222222228,"6,6",14
"Minneapolis, MN",44.9772995,-93.2654692,27053,05,27,8233.38,-22.88,-1.7474999999999998,"8,9",23
"New York, NY",40.7127281,-74.0060152,36061,10,36,9509.44,-22.67,-13.686296296296296,9,22
"Oakland, CA",37.8044557,-122.271356,06001,12,6,8286.34,-34.6,-10.050943396226415,"7,5",22
"Philadelphia, PA",39.9527237,-75.1635262,42101,03,42,11264.88,7.92,-1.2938888888888889,"9,8",23
"Phoenix, AZ",33.4484367,-112.074141,04013,03,4,9117.91,-9.15,4.781111111111111,"9,1",19
"Portland (Multnomah County), OR",45.5202471,-122.674194,41051,01,41,7360.28,-7.07,-4.194,"7,3",23
"Sacramento, CA",38.5810606,-121.493895,06067,07,6,7496.65,0.19,-10.050943396226415,"7,1",17
"San Antonio, TX",29.4246002,-98.4951405,48029,35,48,10286.35,-12.02,7.5697222222222225,"10,6",41
"San Diego County, CA",32.9637838,-116.7706277,06073,48,6,9070.14,7.52,-10.050943396226415,"10,3",24
"San Francisco, CA",37.7792588,-122.4193286,06075,11,6,7075.05,-17.27,-10.050943396226415,"7,5",22
"San Jose, CA",37.3361663,-121.890591,06085,18,6,7405.86,-18.28,-10.050943396226415,"5,5",13
"Seattle, WA",47.6038321,-122.330062,53033,07,53,7616.29,-29.08,-4.582,"7,6",22
"Washington, DC",38.8950368,-77.0365427,11001,98,11,9964.37,NA,0,"9,4",22
